JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455530.395,0.75,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455530.6528,0.9,,,Vis.,KGT,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455531.41,0.4,,,Vis.,BQ,W,0.1,1.0,A,naked eye,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455531.5,0.2,,,Vis.,BNW,,03,05,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455531.69097,0.5,,,Vis.,PMB,,0.9,1.2,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455531.77431,0.3,,,Vis.,STI,,0.1,0.8,Atlas,"""Comps=Alf Aur, Alf Tau""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455532.81250,0.4,,,Vis.,DMA,,0.1,0.4,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455533.66111,0.4,,,Vis.,SMDB,,01,09,10 Star,,,,Z,,,,ALF ORI,,STD,,,,
2455533.70000,-0.1,,,Vis.,BBA,,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455533.8,0.4,,,Vis.,LZT,B,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455534.71875,-0.1,,,Vis.,HTN,,01,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455534.84583,0.8,,,Vis.,TMHA,,0.1,2.1,10star,Fist time of this star !,,,Z,,,,ALF ORI,,STD,,,,
2455534.91736,0.5,,,Vis.,TMHA,,0.1,2.2,10star,my son first trial,,,Z,,,,ALF ORI,,STD,,,,
2455536.7,0.5,,,Vis.,SWV,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455536.75278,0.1,,,Vis.,SPEA,U,bet ori,kap ori,10star,Naked eye,,,Z,,,,ALF ORI,,STD,,,,
2455537.33333,0.3,,,Vis.,TTU,,0.08,"""0.18, 0.40""",J,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455537.41319,0.3,,,Vis.,SSHA,,01,04,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455538.7,0.8,,,Vis.,MOW,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455538.70833,0.1,,,Vis.,BBA,,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455538.75694,0.25,,,Vis.,MDP,,0.1,0.5,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455539.37500,0.8,,,Vis.,SDAV,,0.8,,SPA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455539.63958,0.3,,,Vis.,BWAA,U,0.1,0.9,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455539.72569,0.5,,,Vis.,CKB,,03,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455539.76875,0.1,,,Vis.,BBA,U,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455540.4,0.1,,,Vis.,SPAO,,03,,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455540.4,0.5,,,Vis.,BNW,Z,03,,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455540.47917,0.0,,,Vis.,SDAA,BUZ,01,09,10star,"""Beginner, 1st observation""",,,Z,,,,alf Ori,AAVSO,STD,,,,
2455540.5729,0.8,,,Vis.,BSR,,0.5,1.1,SA1968,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455540.62500,0.3,,,Vis.,DMA,,01,04,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455541.34,0.2,,,Vis.,BQ,,0.1,1.0,A,naked eye,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455541.3772,0.4,,,Vis.,DAT,,TYC5331-01752-1,TYC0187-02184-1,K,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455542.479,0.4,,,Vis.,MTON,K,E,C,SPAVSS,"""\""E+4, =C\""""",,,Z,,,,ALF ORI,BAA-VSS,STD,,,,
2455542.56250,0.5,,,Vis.,ACN,K,.15,.85,3539GWR,"""UNAIDED EYE,  COMP STARS:  RIGEL & ALDEBARAN""",,,Z,,,,ALF ORI,REA,STD,,,,
2455542.6271,0.5,,,Vis.,AAX,K,04,08,ATLAS,BSC,,,Z,,,,ALF ORI,REA,STD,,,,
2455543.365,0.61,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455543.396,0.66,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455543.74861,0.6,,,Vis.,BBA,,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455544.29167,0.5,,,Vis.,SSJA,K,01,12,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455544.341,0.79,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455544.4,0.1,,,Vis.,SPAO,,03,,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455544.63194,0.0,,,Vis.,SPEA,B,21,01,10star,Observada durante las geminidas,,,Z,,,,ALF ORI,,STD,,,,
2455544.70833,0.0,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455544.77083,0.2,,,Vis.,DMA,,01,04,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455545.363,0.56,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455545.47569,0.4,,,Vis.,VUG,B,02,05,1968/03,Naked eye,,,Z,,,,ALF ORI,KNVWS,STD,,,,
2455545.5840,0.4,,,Vis.,AAX,BK,04,08,ATLAS,MOON BSC,,,Z,,,,ALF ORI,REA,STD,,,,
2455545.80625,0.5,,,Vis.,BBA,,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455546.3090,0.371,0.016,,CV,KTHA,,NA,,,,1,,Z,,,,ALF ORI,SAAF,STD,,,,
2455547.6,0.8,,,Vis.,MOW,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455547.80347,0.6,,,Vis.,BBA,UB,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455548.68056,-0.1,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455548.69444,0.8,,,Vis.,SPEA,,21,00,10star,Almost full mooon,,,Z,,,,ALF ORI,,STD,,,,
2455549.4,0.1,,,Vis.,SPAO,B,03,,680301,Moon,,,Z,,,,ALF ORI,UAI,STD,,,,
2455549.67639,0.5,,,Vis.,CKB,,03,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455550.64444,0.1,,,Vis.,BBA,UB,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455553.68889,0.2,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455554.38889,0.3,,,Vis.,MVO,,04,,080101,,,,Z,,,,ALF ORI,URSA,STD,,,,
2455555.32778,1.0,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455556.41,0.4,,,Vis.,MTON,K,E,,SPAVSS,E+4,,,Z,,,,ALF ORI,BAA-VSS,STD,,,,
2455557.4,0.2,,,Vis.,SPAO,,03,,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455557.48194,0.4,,,Vis.,SBN,,02,05,Sa68,,,,Z,,,,ALF ORI,REA,STD,,,,
2455557.5563,0.4,,,Vis.,AAX,K,04,08,ATLAS,BSC,,,Z,,,,ALF ORI,REA,STD,,,,
2455557.7,0.8,,,Vis.,MOW,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455557.72222,0.6,,,Vis.,CKB,,03,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455557.72431,0.0,,,Vis.,SPEA,U,01,21,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455557.72708,0.25,,,Vis.,MDP,,0.1,0.5,10star,colour difference is a problem,,,Z,,,,ALF ORI,,STD,,,,
2455558.2597,0.39,0.011,,CV,KTHA,,NA,,,,1,,Z,,,,ALF ORI,SAAF,STD,,,,
2455558.41,0.3,,,Vis.,BQ,W,0.1,1.0,A,naked eye,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455558.60833,0.2,,,Vis.,DMA,,01,04,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455558.63958,0.1,,,Vis.,BBA,,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455559.3,0.3,,,Vis.,BNW,,03,,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455559.45833,0.9,,,Vis.,SMSA,,05,11,Sa68,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455559.46806,0.6,,,Vis.,EED,,05,11,Sa68,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455559.51042,0.3,,,Vis.,RKZ,,05,03,Sa68,,,,Z,,,,ALF ORI,REA,STD,,,,
2455559.6,0.7,,,Vis.,SUS,,05,12,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455559.6854,0.7,,,Vis.,DJIB,,ALFTAU,BETORI,CS,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455559.8,0.7,,,Vis.,LZT,BU,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455559.83889,-0.1,,,Vis.,BBA,,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455560.5479,0.8,,,Vis.,KSP,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455560.6181,0.9,,,Vis.,KGT,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455560.69444,0.3,,,Vis.,HDAA,,01,09,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455560.85417,0.5,,,Vis.,TMHA,,0.1,2.1,10star,I try my best.,,,Z,,,,ALF ORI,,STD,,,,
2455561.50347,0.4,,,Vis.,VMAA,,03,05,SA68,,,,Z,,,,ALF ORI,,STD,,,,
2455561.64306,0.0,,,Vis.,HDAA,,01,21,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455561.69028,0.1,,,Vis.,DMA,,01,04,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455562.17708,0.5,,,Vis.,SANG,,0.4,0.9,1/96a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455562.3,0.2,,,Vis.,SPAO,,03,,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455562.3,0.5,,,Vis.,BNW,,01,03,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455562.5104,0.5,,,Vis.,AAX,K,01,08,ATLAS,BSC,,,Z,,,,ALF ORI,REA,STD,,,,
2455562.61111,0.2,,,Vis.,BBA,U,0.1,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455562.77778,0.5,,,Vis.,GJCA,,0.1,0.9,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455562.87500,0.4,,,Vis.,TMHA,,0.1,2.1,10star,looks brighter than before,,,Z,,,,ALF ORI,,STD,,,,
2455563.35139,0.4,,,Vis.,BVS,BU,02,11,3342cig,naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455563.59097,0.5,,,Vis.,CKB,,03,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455563.74653,0.4,,,Vis.,GJCA,,0.1,0.9,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455564.376,0.70,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455564.4,0.6,,,Vis.,SYU,,05,11,AREV86,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455564.45833,0.6,,,Vis.,KMO,,0.4,0.9,10startutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455564.48750,0.3,,,Vis.,DMJA,,Beta Orionis,Kappa Orionis,10star,naked eye,,,Z,,,,alf Ori,AAVSO,STD,,,,
2455564.49,0.1,,,Vis.,BQ,W,0.1,1.0,A,naked eye,,,Z,,,,ALF ORI,MCSE,STD,,,,
